,Movie_Title,Year_of_Release,Director,Genre,Runtime,IMDb_Rating,IMDb_Votes,Metascore,Gross,Plot_Outline
125,Company,2002,Director:Ram Gopal Varma,"Action, Crime, Drama            ",142 min,7.9,"15,010", , ,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai."
126,Chalte Chalte,2003,Director:Aziz Mirza,"Drama, Romance            ",167 min,6.6,"14,966", ,$0.84M,A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.
127,Border,1997,Director:J.P. Dutta,"Action, Drama, History            ",176 min,7.9,"14,875", , ,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force."
128,Garam Masala,2005,Director:Priyadarshan,Comedy            ,146 min,6.7,"14,824", , ,A rib tickling tale of two flirts who constantly flirt with women despite one of them being engaged. Chaos ensues when the fiancé finds out that her to-be groom is cheating on her.
129,Singh Is King,2008,Director:Anees Bazmee,"Action, Comedy, Crime            ",135 min,5.7,"14,791", , ,"A comic caper about Happy Singh, a Punjabi villager who goes through a series of misadventures and eventually becomes the King of the Australian underworld."
130,Mr. India,1987,Director:Shekhar Kapur,"Action, Comedy, Drama            ",179 min,7.8,"14,735", , ,"A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of India from the clutches of a megalomaniac."
131,The Big Bull,2021,Director:Kookie Gulati,"Biography, Crime, Drama            ",153 min,6.1,"14,657", , ,The story of the film is based on real events of financial market that took place between 1990 and 2000 involving Harshad Mehta and his financial crimes.
132,Water,2005,Director:Deepa Mehta,Drama            ,117 min,7.7,"14,637",77,$3.22M,"Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents."
133,Mujhse Shaadi Karogi,2004,Director:David Dhawan,"Comedy, Romance            ",163 min,6.7,"14,619", , ,"Sameer, fast at losing his temper is re-located to Goa where he falls in love with Rani. But Sameer's new roommate Sunny, has some plans of his own."
134,Hungama,2003,Director:Priyadarshan,"Comedy, Drama, Romance            ",153 min,7.6,"14,586", , ,"The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes."
135,Pyaar Ka Punchnama 2,2015,Director:Luv Ranjan,"Comedy, Drama, Romance            ",137 min,7.2,"14,501", ,$0.22M,"After falling in love, three roommates experience changes in their lives."
136,Karwaan,2018,Director:Akarsh Khurana,"Adventure, Comedy, Drama            ",114 min,7.6,"14,476", ,$0.18M,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.
137,Kaho Naa... Pyaar Hai,2000,Director:Rakesh Roshan,"Action, Musical, Romance            ",172 min,6.9,"14,473", ,$0.36M,A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.
138,Gulaal,2009,Director:Anurag Kashyap,"Crime, Drama, Thriller            ",140 min,8.1,"14,465", , ,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college."
139,Dostana,2008,Director:Tarun Mansukhani,"Comedy, Drama, Romance            ",145 min,6.5,"14,385", ,$1.24M,"Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart."
140,Dhamaal,2007,Director:Indra Kumar,"Action, Adventure, Comedy            ",136 min,7.4,"14,376", , ,"Four lazy slacker conmen buddies who are jobless, homeless and broke learn about the secret of a hidden treasure from a dying thief and later embark on a race against time to find the mobster's buried treasure and claim it while being pursued by a determined police inspector who is hellbent to get the treasure all by himself."
141,October,2018,Director:Shoojit Sircar,"Drama, Romance            ",115 min,7.5,"14,354", , ,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
142,Hasee Toh Phasee,2014,Director:Vinil Mathew,"Comedy, Romance            ",141 min,6.8,"14,332", ,$0.34M,"Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other."
143,Satya,1998,Director:Ram Gopal Varma,"Action, Crime, Drama            ",170 min,8.2,"14,311", , ,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.
144,Pardes,1997,Director:Subhash Ghai,"Drama, Musical, Romance            ",191 min,7,"14,241", , ,"Kishorilal wants an Indian bride for his westernised son. He gets him engaged to Ganga, his friend's daughter, and brings her to USA. But she shares a deeper bond with Arjun, Kishorilal's foster son."
145,Tanu Weds Manu,2011,Director:Aanand L. Rai,"Comedy, Drama, Romance            ",113 min,6.8,"14,126", , ,"Manu comes to India to find a bride and falls for Tanu at first sight, but free-spirited Tanu has no plan to marry him."
146,Heyy Babyy,2007,Director:Sajid Khan,"Comedy, Drama            ",144 min,6,"13,989", ,$1.21M,Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father.
147,Shaadi Mein Zaroor Aana,2017,Director:Ratnaa Sinha,"Drama, Romance            ",137 min,7.6,"13,975", , ,"Satyendra Mishra ""Rajkumar Rao"" and Aarti Shukla ""Kriti Kharbanda"" agree to get married arranged by their parents, after Satyendra Mishra get government job. Aarti Shukla, run away from their marriage. What life waits for them ahead?"
148,The Girl on the Train,2021,Director:Ribhu Dasgupta,"Crime, Drama, Mystery            ",120 min,4.4,"13,961", , ,"The story follows a recent divorcee who spends her daily commute fantasizing about a seemingly perfect couple who live in a house that her train passes daily, but something shocking happens there one day."
149,Madaari,2016,Director:Nishikant Kamat,"Adventure, Drama, Thriller            ",133 min,7.6,"13,926", , ,"When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge."
150,Hichki,2018,Director:Siddharth Malhotra,"Comedy, Drama            ",116 min,7.5,"11,465", ,$0.33M,Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.
151,Housefull 4,2019,Director:Farhad Samji,"Action, Comedy, Drama            ",145 min,3.5,"11,456", , ,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time."
152,No One Killed Jessica,2011,Director:Raj Kumar Gupta,"Biography, Crime, Drama            ",136 min,7.2,"11,407", ,$0.44M,"A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case."
153,No Entry,2005,Director:Anees Bazmee,"Comedy, Drama, Musical            ",158 min,6.6,"11,387", ,$0.68M,"Kishan and Sunny's life are troubled after their womanizing friend Prem sets them up with a hooker named Bobby, leading to web of lies and confusions."
154,Billu,2009,Director:Priyadarshan,"Comedy, Drama            ",137 min,6.3,"11,335", ,$0.75M,"In an Indian village, a struggling barber sees his luck begin to turn when residents learn that a famous actor he once knew is coming to town."
155,Ittefaq,2017,Director:Abhay Chopra,"Crime, Mystery, Thriller            ",105 min,7.3,"11,321", ,$0.30M,A detective seeks out the truth between two different stories of a crime scene.
156,Karthik Calling Karthik,2010,Director:Vijay Lalwani,"Drama, Mystery, Romance            ",135 min,7.1,"11,304", ,$0.26M,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone."
157,MSG: The Messenger of God,2015,"Directors:Jeetu Arora,Gurmeet Ram Rahim Singh","Action, Comedy, Drama            ",197 min,5.8,"11,240", , ,Guru Ji is a social reformer who works to help people fight against social evils.
158,Badrinath Ki Dulhania,2017,Director:Shashank Khaitan,"Comedy, Drama, Romance            ",139 min,6.1,"11,237", ,$1.99M,Badrinath is looking for a typical bride; Vaidehi is looking for an independent life. Together they must break with tradition and redefine their role.
159,Ghulam,1998,Director:Vikram Bhatt,"Action, Crime, Drama            ",162 min,7.3,"11,142", , ,An amateur boxer runs errands for a local gangster but revolts against him after the gangster kills his friend and his conscience is awakened.
160,Mohenjo Daro,2016,Director:Ashutosh Gowariker,"Action, Adventure, Drama            ",155 min,5.7,"11,138",39,$1.25M,"In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro."
161,Fukrey,2013,Director:Mrighdeep Lamba,"Comedy, Drama, Romance            ",139 min,6.9,"11,047", ,$0.12M,"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues."
162,Aamir,2008,Director:Raj Kumar Gupta,"Action, Crime, Drama            ",99 min,7.7,"11,030", , ,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.
163,Baaghi 3,2020,Director:Ahmed Khan,"Action, Comedy, Musical            ",143 min,2.1,"10,974", , ,A man embarks on a bloody rampage to save his kidnapped brother.
164,Ankhon Dekhi,2013,Director:Rajat Kapoor,"Comedy, Drama            ",107 min,8,"10,935", , ,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
165,Sonchiriya,2019,Director:Abhishek Chaubey,"Action, Crime, Drama            ",143 min,8.1,"10,922", ,$0.09M,"Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands."
166,Bachna Ae Haseeno,2008,Director:Siddharth Anand,"Comedy, Drama, Romance            ",152 min,6.1,"10,870", ,$0.69M,"Raj is a heartbreaker. His love stories with Mahi, Radhika, and Gayatri finally teach him about love and life in their own sweet, sexy, and sassy ways."
167,Bulbbul,2020,Director:Anvita Dutt,"Drama, Horror, Mystery            ",94 min,6.6,"10,821", , ,"A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths."
168,New York,2009,Director:Kabir Khan,"Crime, Drama, Thriller            ",153 min,6.8,"10,811",35,$0.98M,A contemporary story of 3 friends discovering a new world set against the larger than life New York City. But one day the world around them changed.
169,Boss,2013,Director:Anthony D'Souza,"Action, Comedy, Crime            ",143 min,5.1,"10,768",42, ,"After his younger son falls prey to a corrupt police officer, an honest old man summons his estranged elder son to save the day."
170,Manikarnika: The Queen of Jhansi,2019,"Directors:Radha Krishna Jagarlamudi,Kangana Ranaut","Action, Biography, Drama            ",148 min,6.4,"10,754", , ,"Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857, and her resistance to the British Rule."
